Feature,Importance,Selected
volume_t-16,2000499556137.8186,True
volume_t-17,2000353613332.0095,True
volume_t-20,2000175028555.2256,True
volume_t-18,2000078988621.735,True
volume_t-19,1999969446030.561,True
volume_t-15,1998721607478.9836,True
volume_t-14,1875041330439.246,True
volume_t-9,1873766068683.302,True
volume_t-10,1873757647516.0664,True
volume_t-13,1873238994044.8467,True
volume_t-11,1871947947673.552,True
volume_t-12,1871881185554.1804,True
volume_t-6,1864312304820.498,True
volume_t-5,1864148435428.482,True
volume_t-4,1864144491911.2515,True
volume_t-7,1864043423020.511,True
volume_t-8,1863997440559.2236,True
volume_t-1,1863887914538.331,True
volume_t-2,1863796228506.3167,True
volume_t-3,1863763992204.7122,True
high_t-1,78.98951313925348,False
open_t-1,78.69026484850522,False
high_t-2,78.58255850937007,False
close_t-1,78.55344102260653,False
open_t-2,78.32673743770087,False
high_t-3,78.24648360560457,False
close_t-2,78.15129210828547,False
low_t-1,78.04027862687859,False
open_t-3,77.99827736151643,False
high_t-4,77.92054537835433,False
close_t-3,77.81030639808228,False
open_t-4,77.70888316686614,False
low_t-2,77.6814773777386,False
high_t-5,77.61400131159174,False
close_t-4,77.47917439523124,False
open_t-5,77.39822128363748,False
low_t-3,77.34277919095423,False
high_t-6,77.31983972178956,False
close_t-5,77.19077542758778,False
open_t-6,77.15569466870184,False
high_t-7,77.07492380520515,False
low_t-4,77.03614856073193,False
open_t-7,76.91119487822591,False
close_t-6,76.88526250023536,False
high_t-8,76.84038237117565,False
low_t-5,76.73564502031584,False
open_t-8,76.67290987567073,False
close_t-7,76.63947301570758,False
high_t-9,76.61558468567826,False
low_t-6,76.48188671548253,False
open_t-9,76.44033738491642,False
close_t-8,76.4089607619118,False
high_t-10,76.37922631646404,False
low_t-7,76.22669515968296,False
open_t-10,76.19607655730981,False
close_t-9,76.17228527891714,False
high_t-11,76.14402430767156,False
low_t-8,75.99057458217383,False
open_t-11,75.95079262234566,False
close_t-10,75.93526526688093,False
high_t-12,75.90443881583332,False
low_t-9,75.75900037768078,False
open_t-12,75.6966293189123,False
close_t-11,75.69286393382106,False
high_t-13,75.64624041722657,False
low_t-10,75.50878884363918,False
close_t-12,75.44848294591107,False
open_t-13,75.43081314225581,False
high_t-14,75.37611664522855,False
low_t-11,75.25750181130817,False
close_t-13,75.1912398479673,False
open_t-14,75.15600947471053,False
high_t-15,75.09815626079627,False
low_t-12,75.01238431197793,False
close_t-14,74.9292332438575,False
open_t-15,74.8787281637058,False
high_t-16,74.80090446252034,False
low_t-13,74.74587810797196,False
close_t-15,74.66302386099866,False
open_t-16,74.574665447424,False
high_t-17,74.52037767703372,False
low_t-14,74.4820372953064,False
close_t-16,74.37891318602993,False
open_t-17,74.31166488616039,False
high_t-18,74.26438953579998,False
low_t-15,74.20700932180488,False
close_t-17,74.09455414166408,False
open_t-18,74.04650391842279,False
high_t-19,73.98904268487406,False
low_t-16,73.91414011476336,False
close_t-18,73.84368992556382,False
open_t-19,73.7694629638645,False
high_t-20,73.72715708385736,False
low_t-17,73.64314997204761,False
close_t-19,73.5872784687126,False
open_t-20,73.4993426905284,False
low_t-18,73.38220871071542,False
close_t-20,73.31587029539128,False
low_t-19,73.1127872078469,False
low_t-20,72.84388043153199,False
