fecha,humedadMedia_t-1,humedadMin_t-1,humedadMax
2022-01-06,83.6,55.11,98.0
2022-01-07,79.6,45.09,98.8
2022-01-08,72.9,39.35,93.7
2022-01-09,76.7,44.69,95.8
2022-01-10,81.4,59.85,94.8
2022-01-11,73.0,43.21,93.6
2022-01-12,74.2,43.95,96.3
2022-01-13,67.4,38.54,90.3
2022-01-14,68.76,38.68,88.9
2022-01-15,73.0,47.16,93.4
2022-01-16,70.5,41.48,91.7
2022-01-17,71.2,39.95,89.8
2022-01-18,72.7,40.95,93.8
2022-01-19,72.9,44.22,92.8
2022-01-20,69.42,39.08,91.4
2022-01-21,70.5,39.21,92.4
2022-01-22,67.16,33.33,91.9
2022-01-23,64.84,43.89,83.7
2022-01-24,78.5,54.71,90.6
2022-01-25,68.19,46.83,91.9
2022-01-26,66.74,48.83,83.1
2022-01-27,62.61,43.09,87.6
2022-01-28,59.51,30.85,87.7
2022-01-29,50.85,23.64,76.5
2022-01-30,49.09,18.83,74.0
2022-01-31,51.03,20.23,76.4
2022-02-01,52.36,26.92,80.3
2022-02-02,52.38,23.97,77.6
2022-02-03,55.51,26.84,80.4
2022-02-04,68.85,53.58,92.1
2022-02-05,75.9,40.27,97.8
2022-02-06,69.28,41.14,92.4
2022-02-07,65.45,32.85,91.9
2022-02-08,60.82,31.85,85.5
2022-02-09,61.19,35.13,85.5
2022-02-10,62.26,34.52,86.1
2022-02-11,62.24,30.52,80.9
2022-02-12,69.78,46.54,90.4
2022-02-13,68.74,41.48,88.8
2022-02-14,64.15,29.12,96.4
2022-02-15,54.49,23.85,83.3
2022-02-16,55.58,32.52,84.9
2022-02-17,63.81,34.19,85.5
2022-02-18,71.4,50.23,90.2
2022-02-19,69.54,45.08,89.8
2022-02-20,67.24,40.2,91.0
2022-02-21,53.36,21.3,86.8
2022-02-22,42.63,18.49,69.94
2022-02-23,42.79,16.76,66.86
2022-02-24,50.14,28.45,69.23
2022-02-25,67.1,44.75,92.2
2022-02-26,79.6,53.77,98.6
2022-02-27,74.3,46.68,91.5
2022-02-28,71.9,42.94,97.8
2022-03-01,58.49,25.58,90.1
2022-03-02,63.31,36.46,84.5
2022-03-03,70.8,31.6,94.8
2022-03-04,61.74,34.6,83.4
2022-03-05,68.26,34.67,91.1
2022-03-06,65.08,28.72,92.7
2022-03-07,58.63,36.94,85.6
2022-03-08,82.3,61.63,99.6
2022-03-09,77.7,42.27,100.0
2022-03-10,72.3,44.41,93.4
2022-03-11,88.5,65.47,100.0
2022-03-12,86.3,51.17,100.0
2022-03-13,79.2,43.89,100.0
2022-03-14,84.7,64.22,100.0
2022-03-15,91.3,74.0,98.8
2022-03-16,94.6,81.1,100.0
2022-03-17,81.7,56.45,100.0
2022-03-18,78.1,47.23,96.6
2022-03-19,75.0,43.55,100.0
2022-03-20,67.83,45.02,89.1
2022-03-21,81.5,61.99,95.2
2022-03-22,83.2,59.19,99.6
2022-03-23,84.2,60.32,99.0
2022-03-24,94.2,79.2,100.0
2022-03-25,81.0,50.1,100.0
2022-03-26,77.6,44.27,96.4
