fecha,humedadMax_t-1,dia_t-6,humedadMax
2022-01-06,98.0,1,98.0
2022-01-07,98.8,2,98.8
2022-01-08,93.7,3,93.7
2022-01-09,95.8,4,95.8
2022-01-10,94.8,5,94.8
2022-01-11,93.6,6,93.6
2022-01-12,96.3,7,96.3
2022-01-13,90.3,8,90.3
2022-01-14,88.9,9,88.9
2022-01-15,93.4,10,93.4
2022-01-16,91.7,11,91.7
2022-01-17,89.8,12,89.8
2022-01-18,93.8,13,93.8
2022-01-19,92.8,14,92.8
2022-01-20,91.4,15,91.4
2022-01-21,92.4,16,92.4
2022-01-22,91.9,17,91.9
2022-01-23,83.7,18,83.7
2022-01-24,90.6,19,90.6
2022-01-25,91.9,20,91.9
2022-01-26,83.1,21,83.1
2022-01-27,87.6,22,87.6
2022-01-28,87.7,23,87.7
2022-01-29,76.5,24,76.5
2022-01-30,74.0,25,74.0
2022-01-31,76.4,26,76.4
2022-02-01,80.3,27,80.3
2022-02-02,77.6,28,77.6
2022-02-03,80.4,29,80.4
2022-02-04,92.1,30,92.1
2022-02-05,97.8,31,97.8
2022-02-06,92.4,32,92.4
2022-02-07,91.9,33,91.9
2022-02-08,85.5,34,85.5
2022-02-09,85.5,35,85.5
2022-02-10,86.1,36,86.1
2022-02-11,80.9,37,80.9
2022-02-12,90.4,38,90.4
2022-02-13,88.8,39,88.8
2022-02-14,96.4,40,96.4
2022-02-15,83.3,41,83.3
2022-02-16,84.9,42,84.9
2022-02-17,85.5,43,85.5
2022-02-18,90.2,44,90.2
2022-02-19,89.8,45,89.8
2022-02-20,91.0,46,91.0
2022-02-21,86.8,47,86.8
2022-02-22,69.94,48,69.94
2022-02-23,66.86,49,66.86
2022-02-24,69.23,50,69.23
2022-02-25,92.2,51,92.2
2022-02-26,98.6,52,98.6
2022-02-27,91.5,53,91.5
2022-02-28,97.8,54,97.8
2022-03-01,90.1,55,90.1
2022-03-02,84.5,56,84.5
2022-03-03,94.8,57,94.8
2022-03-04,83.4,58,83.4
2022-03-05,91.1,59,91.1
2022-03-06,92.7,60,92.7
2022-03-07,85.6,61,85.6
2022-03-08,99.6,62,99.6
2022-03-09,100.0,63,100.0
2022-03-10,93.4,64,93.4
2022-03-11,100.0,65,100.0
2022-03-12,100.0,66,100.0
2022-03-13,100.0,67,100.0
2022-03-14,100.0,68,100.0
2022-03-15,98.8,69,98.8
2022-03-16,100.0,70,100.0
2022-03-17,100.0,71,100.0
2022-03-18,96.6,72,96.6
2022-03-19,100.0,73,100.0
2022-03-20,89.1,74,89.1
2022-03-21,95.2,75,95.2
2022-03-22,99.6,76,99.6
2022-03-23,99.0,77,99.0
2022-03-24,100.0,78,100.0
2022-03-25,100.0,79,100.0
2022-03-26,96.4,80,96.4
